R,x,y,T,L,kappa,kappa_bulk
0.3,10,20,150,2.51189e-05,9.98524,0.948327
0.3,10,20,150,3.16228e-05,10.0754,0.956894
0.3,10,20,150,3.98107e-05,10.1535,0.96431
0.3,10,20,150,5.01187e-05,10.2203,0.970647
0.3,10,20,150,6.30957e-05,10.2766,0.976002
0.3,10,20,150,7.94328e-05,10.3238,0.980478
0.3,10,20,150,0.0001,10.3628,0.984188
0.3,10,20,200,1e-09,0.304293,0.0327825
0.3,10,20,200,1.25893e-09,0.370655,0.0399318
0.3,10,20,200,1.58489e-09,0.449319,0.0484067
0.3,10,20,200,1.99526e-09,0.5418,0.0583699
0.3,10,20,200,2.51189e-09,0.649553,0.0699785
0.3,10,20,200,3.16228e-09,0.773902,0.083375
0.3,10,20,200,3.98107e-09,0.915951,0.0986784
0.3,10,20,200,5.01187e-09,1.0765,0.115975
0.3,10,20,200,6.30957e-09,1.25599,0.135312
0.3,10,20,200,7.94328e-09,1.45438,0.156685
0.3,10,20,200,1e-08,1.6712,0.180043
0.3,10,20,200,1.25893e-08,1.90544,0.205279
0.3,10,20,200,1.58489e-08,2.15566,0.232236
0.3,10,20,200,1.99526e-08,2.41995,0.260709
0.3,10,20,200,2.51189e-08,2.69609,0.290458
0.3,10,20,200,3.16228e-08,2.98156,0.321213
0.3,10,20,200,3.98107e-08,3.27373,0.352689
0.3,10,20,200,5.01187e-08,3.56994,0.384601
0.3,10,20,200,6.30957e-08,3.86765,0.416674
0.3,10,20,200,7.94328e-08,4.16453,0.448659
0.3,10,20,200,1e-07,4.45859,0.480338
0.3,10,20,200,1.25893e-07,4.74819,0.511538
0.3,10,20,200,1.58489e-07,5.03208,0.542123
0.3,10,20,200,1.99526e-07,5.30937,0.571996
0.3,10,20,200,2.51189e-07,5.57942,0.601089
0.3,10,20,200,3.16228e-07,5.84172,0.629348
0.3,10,20,200,3.98107e-07,6.09587,0.656728
0.3,10,20,200,5.01187e-07,6.34143,0.683183
0.3,10,20,200,6.30957e-07,6.57792,0.708661
0.3,10,20,200,7.94328e-07,6.80485,0.733109
0.3,10,20,200,1e-06,7.02179,0.75648
0.3,10,20,200,1.25893e-06,7.22837,0.778736
0.3,10,20,200,1.58489e-06,7.42439,0.799854
0.3,10,20,200,1.99526e-06,7.6098,0.819829
0.3,10,20,200,2.51189e-06,7.78466,0.838667
0.3,10,20,200,3.16228e-06,7.94909,0.856381
0.3,10,20,200,3.98107e-06,8.10315,0.872979
0.3,10,20,200,5.01187e-06,8.24685,0.888461
0.3,10,20,200,6.30957e-06,8.38008,0.902813
0.3,10,20,200,7.94328e-06,8.50261,0.916014
0.3,10,20,200,1e-05,8.61423,0.928039
